name,team,player_link,battingStyle,bowlingStyle,playingRole
Michael van Lingen,Namibia,https://www.espncricinfo.com/cricketers/michael-van-lingen-833777,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowling Allrounder
Divan la Cock,Namibia,https://www.espncricinfo.com/cricketers/divan-la-cock-1178065,Right hand Bat,Legbreak,Opening Batter
Jan Nicol Loftie-Eaton,Namibia,https://www.espncricinfo.com/cricketers/jan-nicol-loftie-eaton-1071473,Left hand Bat,"Right arm Medium, Legbreak",Batter
Stephan Baard,Namibia,https://www.espncricinfo.com/cricketers/stephan-baard-437927,Right hand Bat,Right arm Medium fast,Batter
Gerhard Erasmus,Namibia,https://www.espncricinfo.com/cricketers/gerhard-erasmus-519070,Right hand Bat,Right arm Offbreak,Allrounder
Jan Frylinck,Namibia,https://www.espncricinfo.com/cricketers/jan-frylinck-482478,Left hand Bat,Left arm Fast medium,Allrounder
David Wiese,Namibia,https://www.espncricinfo.com/cricketers/david-wiese-221140,Right hand Bat,Right arm Medium fast,Allrounder
JJ Smit,Namibia,https://www.espncricinfo.com/cricketers/jj-smit-553821,Right hand Bat,Left arm Medium fast,Bowling Allrounder
Pathum Nissanka,Sri Lanka,https://www.espncricinfo.com/cricketers/pathum-nissanka-1028655,Right hand Bat,,Top order Batter
Kusal Mendis,Sri Lanka,https://www.espncricinfo.com/cricketers/kusal-mendis-629074,Right hand Bat,Legbreak,Wicketkeeper Batter
Dhananjaya de Silva,Sri Lanka,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,Right hand Bat,Right arm Offbreak,Allrounder
Danushka Gunathilaka,Sri Lanka,https://www.espncricinfo.com/cricketers/danushka-gunathilaka-345821,Left hand Bat,Right arm Offbreak,Allrounder
Bhanuka Rajapaksa,Sri Lanka,https://www.espncricinfo.com/cricketers/bhanuka-rajapaksa-342619,Left hand Bat,Right arm Medium,Top order Batter
Dasun Shanaka,Sri Lanka,https://www.espncricinfo.com/cricketers/dasun-shanaka-437316,Right hand Bat,Right arm Medium,Allrounder
Wanindu Hasaranga,Sri Lanka,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379,Right hand Bat,Legbreak,Allrounder
Chamika Karunaratne,Sri Lanka,https://www.espncricinfo.com/cricketers/chamika-karunaratne-623695,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Pramod Madushan,Sri Lanka,https://www.espncricinfo.com/cricketers/pramod-madushan-826689,Right hand Bat,Right arm Medium fast,Bowler
Dushmantha Chameera,Sri Lanka,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,Right hand Bat,Right arm Fast,Bowler
Maheesh Theekshana,Sri Lanka,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,Right hand Bat,Right arm Offbreak,Bowler
Chirag Suri,U.A.E.,https://www.espncricinfo.com/cricketers/chirag-suri-534734,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter
Muhammad Waseem,U.A.E.,https://www.espncricinfo.com/cricketers/muhammad-waseem-1241277,Right hand Bat,Right arm Medium,Opening Batter
Kashif Daud,U.A.E.,https://www.espncricinfo.com/cricketers/kashif-daud-229225,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Vriitya Aravind,U.A.E.,https://www.espncricinfo.com/cricketers/vriitya-aravind-1178586,Right hand Bat,,Wicketkeeper Batter
Zawar Farid,U.A.E.,https://www.espncricinfo.com/cricketers/zawar-farid-1196500,Right hand Bat,Right arm Medium,Bowler
Basil Hameed,U.A.E.,https://www.espncricinfo.com/cricketers/basil-hameed-1209110,Right hand Bat,Right arm Offbreak,Middle order Batter
Chundangapoyil Rizwan,U.A.E.,https://www.espncricinfo.com/cricketers/chundangapoyil-rizwan-474760,Right hand Bat,Legbreak Googly,Middle order Batter
Aayan Afzal Khan,U.A.E.,https://www.espncricinfo.com/cricketers/aayan-afzal-khan-1241265,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Karthik Meiyappan,U.A.E.,https://www.espncricinfo.com/cricketers/karthik-meiyappan-1058987,Right hand Bat,Legbreak,Bowler
Junaid Siddique,U.A.E.,https://www.espncricinfo.com/cricketers/junaid-siddique-1203754,Right hand Bat,Right arm Medium fast,Bowler
Vikramjit Singh,Netherlands,https://www.espncricinfo.com/cricketers/vikramjit-singh-1153767,Left hand Bat,Right arm Medium,Opening Batter
Max O'Dowd,Netherlands,https://www.espncricinfo.com/cricketers/max-o-dowd-643197,Right hand Bat,Right arm Offbreak,Opening Batter
Bas de Leede,Netherlands,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,Right hand Bat,Right arm Fast medium,Batting Allrounder
Colin Ackermann,Netherlands,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,Right hand Bat,Right arm Offbreak,Batting Allrounder
Tom Cooper,Netherlands,https://www.espncricinfo.com/cricketers/tom-cooper-219885,Right hand Bat,Right arm Offbreak,Middle order Batter
Scott Edwards,Netherlands,https://www.espncricinfo.com/cricketers/scott-edwards-1127317,Right hand Bat,,Wicketkeeper Batter
Roelof van der Merwe,Netherlands,https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Tim Pringle,Netherlands,https://www.espncricinfo.com/cricketers/tim-pringle-1193548,Right hand Bat,Slow Left arm Orthodox,Allrounder
Logan van Beek,Netherlands,https://www.espncricinfo.com/cricketers/logan-van-beek-440522,Right hand Bat,Right arm Medium fast,Bowler
George Munsey,Scotland,https://www.espncricinfo.com/cricketers/george-munsey-671805,Left hand Bat,Right arm Medium fast,Opening Batter
Michael Jones,Scotland,https://www.espncricinfo.com/cricketers/michael-jones-1093091,Right hand Bat,Right arm Offbreak,Top order Batter
Matthew Cross,Scotland,https://www.espncricinfo.com/cricketers/matthew-cross-417268,Right hand Bat,,Wicketkeeper Batter
Richie Berrington,Scotland,https://www.espncricinfo.com/cricketers/richie-berrington-25490,Right hand Bat,Right arm Medium fast,Top order Batter
Calum MacLeod,Scotland,https://www.espncricinfo.com/cricketers/calum-macleod-232435,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter
Michael Leask,Scotland,https://www.espncricinfo.com/cricketers/michael-leask-414966,Right hand Bat,Right arm Offbreak,Allrounder
Chris Greaves,Scotland,https://www.espncricinfo.com/cricketers/chris-greaves-873199,Right hand Bat,Legbreak,Bowler
Kyle Mayers,West Indies,https://www.espncricinfo.com/cricketers/kyle-mayers-348056,Left hand Bat,Right arm Medium,Batting Allrounder
Evin Lewis,West Indies,https://www.espncricinfo.com/cricketers/evin-lewis-431901,Left hand Bat,,Opening Batter
Brandon King,West Indies,https://www.espncricinfo.com/cricketers/brandon-king-670035,Right hand Bat,,Top order Batter
Nicholas Pooran,West Indies,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
Shamarh Brooks,West Indies,https://www.espncricinfo.com/cricketers/shamarh-brooks-230555,Right hand Bat,Legbreak,Top order Batter
Rovman Powell,West Indies,https://www.espncricinfo.com/cricketers/rovman-powell-820351,Right hand Bat,Right arm Medium fast,Middle order Batter
Jason Holder,West Indies,https://www.espncricinfo.com/cricketers/jason-holder-391485,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Akeal Hosein,West Indies,https://www.espncricinfo.com/cricketers/akeal-hosein-530812,Left hand Bat,Slow Left arm Orthodox,Bowler
Alzarri Joseph,West Indies,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,Right hand Bat,Right arm Fast,Bowler
Odean Smith,West Indies,https://www.espncricinfo.com/cricketers/odean-smith-820691,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Obed McCoy,West Indies,https://www.espncricinfo.com/cricketers/obed-mccoy-906783,Left hand Bat,Left arm Fast medium,Bowler
Regis Chakabva,Zimbabwe,https://www.espncricinfo.com/cricketers/regis-chakabva-293831,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Craig Ervine,Zimbabwe,https://www.espncricinfo.com/cricketers/craig-ervine-55412,Left hand Bat,Right arm Offbreak,Middle order Batter
Wessly Madhevere,Zimbabwe,https://www.espncricinfo.com/cricketers/wessly-madhevere-938959,Right hand Bat,Right arm Offbreak,Allrounder
Sean Williams,Zimbabwe,https://www.espncricinfo.com/cricketers/sean-williams-55870,Left hand Bat,Slow Left arm Orthodox,Middle order Batter
Sikandar Raza,Zimbabwe,https://www.espncricinfo.com/cricketers/sikandar-raza-299572,Right hand Bat,Right arm Offbreak,Batting Allrounder
Milton Shumba,Zimbabwe,https://www.espncricinfo.com/cricketers/milton-shumba-951781,Left hand Bat,Slow Left arm Orthodox,Top order Batter
Ryan Burl,Zimbabwe,https://www.espncricinfo.com/cricketers/ryan-burl-495964,Left hand Bat,Legbreak,Middle order Batter
Luke Jongwe,Zimbabwe,https://www.espncricinfo.com/cricketers/luke-jongwe-541224,Right hand Bat,Right arm Fast medium,Allrounder
Paul Stirling,Ireland,https://www.espncricinfo.com/cricketers/paul-stirling-303427,Right hand Bat,Right arm Offbreak,Batting Allrounder
Andy Balbirnie,Ireland,https://www.espncricinfo.com/cricketers/andy-balbirnie-303423,Right hand Bat,Right arm Offbreak,Batter
Lorcan Tucker,Ireland,https://www.espncricinfo.com/cricketers/lorcan-tucker-928057,Right hand Bat,,Wicketkeeper Batter
Harry Tector,Ireland,https://www.espncricinfo.com/cricketers/harry-tector-961407,Right hand Bat,Right arm Offbreak,Middle order Batter
Curtis Campher,Ireland,https://www.espncricinfo.com/cricketers/curtis-campher-595921,Right hand Bat,Right arm Medium fast,Allrounder
George Dockrell,Ireland,https://www.espncricinfo.com/cricketers/george-dockrell-348034,Right hand Bat,Slow Left arm Orthodox,Allrounder
Gareth Delany,Ireland,https://www.espncricinfo.com/cricketers/gareth-delany-1099379,Right hand Bat,Legbreak Googly,Batting Allrounder
Mark Adair,Ireland,https://www.espncricinfo.com/cricketers/mark-adair-526441,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Simi Singh,Ireland,https://www.espncricinfo.com/cricketers/simi-singh-1005257,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder
Barry McCarthy,Ireland,https://www.espncricinfo.com/cricketers/barry-mccarthy-348059,Right hand Bat,Right arm Fast medium,Bowler
Josh Little,Ireland,https://www.espncricinfo.com/cricketers/josh-little-928067,Right hand Bat,Left arm Fast medium,Bowler
Charith Asalanka,Sri Lanka,https://www.espncricinfo.com/cricketers/charith-asalanka-784367,Left hand Bat,Right arm Offbreak,Batting Allrounder
Aryan Lakra,U.A.E.,https://www.espncricinfo.com/cricketers/aryan-lakra-1058989,Left hand Bat,Slow Left arm Orthodox,Bowler
Zahoor Khan,U.A.E.,https://www.espncricinfo.com/cricketers/zahoor-khan-384525,Right hand Bat,Right arm Medium fast,Bowler
Johnson Charles,West Indies,https://www.espncricinfo.com/cricketers/johnson-charles-333066,Right hand Bat,,Wicketkeeper Batter
Tony Munyonga,Zimbabwe,https://www.espncricinfo.com/cricketers/tony-munyonga-1122853,Right hand Bat,Right arm Offbreak,Allrounder
Richard Ngarava,Zimbabwe,https://www.espncricinfo.com/cricketers/richard-ngarava-806241,Left hand Bat,Left arm Fast medium,Bowler
Tendai Chatara,Zimbabwe,https://www.espncricinfo.com/cricketers/tendai-chatara-425639,Right hand Bat,Right arm Fast medium,Bowler
Blessing Muzarabani,Zimbabwe,https://www.espncricinfo.com/cricketers/blessing-muzarabani-827051,Right hand Bat,Right arm Fast medium,Bowler
Timm van der Gugten,Netherlands,https://www.espncricinfo.com/cricketers/timm-van-der-gugten-333782,Right hand Bat,Right arm Fast medium,Bowler
Fred Klaassen,Netherlands,https://www.espncricinfo.com/cricketers/fred-klaassen-1104703,Right hand Bat,Left arm Fast medium,Bowler
Paul van Meekeren,Netherlands,https://www.espncricinfo.com/cricketers/paul-van-meekeren-348109,Right hand Bat,Right arm Fast medium,Bowler
Alishan Sharafu,U.A.E.,https://www.espncricinfo.com/cricketers/alishan-sharafu-1161038,Right hand Bat,Right arm Medium,Opening Batter
Zane Green,Namibia,https://www.espncricinfo.com/cricketers/zane-green-596664,Left hand Bat,,Wicketkeeper Batter
Ruben Trumpelmann,Namibia,https://www.espncricinfo.com/cricketers/ruben-trumpelmann-698317,Right hand Bat,Left arm Fast,Bowler
Bernard Scholtz,Namibia,https://www.espncricinfo.com/cricketers/bernard-scholtz-330223,Right hand Bat,Slow Left arm Orthodox,Bowler
Josh Davey,Scotland,https://www.espncricinfo.com/cricketers/josh-davey-407265,Right hand Bat,Right arm Medium fast,Bowler
Finn Allen,New Zealand,https://www.espncricinfo.com/cricketers/finn-allen-959759,Right hand Bat,,Top order Batter
Devon Conway,New Zealand,https://www.espncricinfo.com/cricketers/devon-conway-379140,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Kane Williamson,New Zealand,https://www.espncricinfo.com/cricketers/kane-williamson-277906,Right hand Bat,Right arm Offbreak,Top order Batter
Glenn Phillips,New Zealand,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
James Neesham,New Zealand,https://www.espncricinfo.com/cricketers/james-neesham-355269,Left hand Bat,Right arm Medium fast,Batting Allrounder
David Warner,Australia,https://www.espncricinfo.com/cricketers/david-warner-219889,Left hand Bat,Legbreak,Opening Batter
Aaron Finch,Australia,https://www.espncricinfo.com/cricketers/aaron-finch-5334,Right hand Bat,Slow Left arm Orthodox,Top order Batter
Mitchell Marsh,Australia,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450,Right hand Bat,Right arm Medium,Allrounder
Glenn Maxwell,Australia,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,Right hand Bat,Right arm Offbreak,Batting Allrounder
Marcus Stoinis,Australia,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,Right hand Bat,Right arm Medium,Batting Allrounder
Tim David,Australia,https://www.espncricinfo.com/cricketers/tim-david-892749,Right hand Bat,Right arm Offbreak,Middle order Batter
Matthew Wade,Australia,https://www.espncricinfo.com/cricketers/matthew-wade-230193,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Pat Cummins,Australia,https://www.espncricinfo.com/cricketers/pat-cummins-489889,Right hand Bat,Right arm Fast,Bowler
Mitchell Starc,Australia,https://www.espncricinfo.com/cricketers/mitchell-starc-311592,Left hand Bat,Left arm Fast,Bowler
Adam Zampa,Australia,https://www.espncricinfo.com/cricketers/adam-zampa-379504,Right hand Bat,Legbreak Googly,Bowler
Josh Hazlewood,Australia,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,Left hand Bat,Right arm Fast medium,Bowler
Hazratullah Zazai,Afghanistan,https://www.espncricinfo.com/cricketers/hazratullah-zazai-793457,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Rahmanullah Gurbaz,Afghanistan,https://www.espncricinfo.com/cricketers/rahmanullah-gurbaz-974087,Right hand Bat,,Wicketkeeper Batter
Ibrahim Zadran,Afghanistan,https://www.espncricinfo.com/cricketers/ibrahim-zadran-921509,Right hand Bat,Right arm Medium fast,Opening Batter
Usman Ghani,Afghanistan,https://www.espncricinfo.com/cricketers/usman-ghani-711559,Right hand Bat,,Opening Batter
Najibullah Zadran,Afghanistan,https://www.espncricinfo.com/cricketers/najibullah-zadran-524049,Left hand Bat,Right arm Offbreak,Middle order Batter
Mohammad Nabi,Afghanistan,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913,Right hand Bat,Right arm Offbreak,Allrounder
Azmatullah Omarzai,Afghanistan,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,Right hand Bat,Right arm Medium fast,Allrounder
Rashid Khan,Afghanistan,https://www.espncricinfo.com/cricketers/rashid-khan-793463,Right hand Bat,Legbreak Googly,Bowling Allrounder
Mujeeb Ur Rahman,Afghanistan,https://www.espncricinfo.com/cricketers/mujeeb-ur-rahman-974109,Right hand Bat,Right arm Offbreak,Bowler
